Provider Property ID,Expedia ID,Public Code,Reason Codes,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
802951,111234652,OnboardingFailed,InvalidProperty,,,,,,
803199,111291844,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803091,111275947,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803088,111275872,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802953,111234653,OnboardingFailed,InvalidProperty,,,,,,
802948,111234649,OnboardingFailed,InvalidProperty,,,,,,
802926,111234633,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802921,111234630,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802929,111234471,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
802933,111234473,OnboardingFailed,InvalidProperty,,,,,,
803209,111297248,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803204,111293458,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803688,111382760,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803640,111373300,OnboardingFailed,InvalidProperty,,,,,,
803621,111362021,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803601,111359903,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803355,111332672,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803325,111328907,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803724,111383805,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803582,111357345,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802804,111186851,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803063,111270299,OnboardingFailed,InvalidProperty,,,,,,
803570,111357341,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803751,111383100,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
